"year","team","cash_paid","name","position","gCoeff","mean_cash","median_cash","top_cash","bot_cash","players_recorded"
2019,"Eagles",17087683,"Carson Wentz","quarterback",0.674644484527342,2930572.05063291,720000,17087683,0,79
2020,"Eagles",39383000,"Carson Wentz","quarterback",0.720448561996264,2906627.83146067,750000,39383000,0,89
2008,"Falcons",6600000,"Matt Ryan","quarterback",0.571853514926682,1646673.75,848990,6600000,0,16
2009,"Falcons",17900000,"Matt Ryan","quarterback",0.659408343364902,2935511.76190476,490600,17900000,219118,21
2010,"Falcons",10250000,"Matt Ryan","quarterback",0.579515702672296,2662009.32,903500,1.2e+07,395000,25
2011,"Falcons",11250000,"Matt Ryan","quarterback",0.598871332659267,3492909.09090909,1012500,1.3e+07,96900,33
2012,"Falcons",11500000,"Matt Ryan","quarterback",0.561216614386937,2212466.30434783,670625,11500000,276000,46
2013,"Falcons",3e+07,"Matt Ryan","quarterback",0.66625442202036,2095763.703125,608370,3e+07,23824,64
2014,"Falcons",21500000,"Matt Ryan","quarterback",0.665302118853452,2052719.34615385,695618,21500000,6300,78
2015,"Falcons",11500000,"Matt Ryan","quarterback",0.661942237902348,1707503.24,585000,2.2e+07,6600,75
2016,"Falcons",15750000,"Matt Ryan","quarterback",0.659740732034701,1787920.92405063,675000,15750000,0,79
2017,"Falcons",15750000,"Matt Ryan","quarterback",0.664808049598708,2392347.16216216,690000,16526000,0,74
2018,"Falcons",52500000,"Matt Ryan","quarterback",0.710507494795479,2807568.12820513,904700,52500000,15200,78
2019,"Falcons",21500000,"Matt Ryan","quarterback",0.718741038185719,2896300.03614458,805000,26500000,8000,83
2020,"Falcons",20500000,"Matt Ryan","quarterback",0.686531394761307,2549129.08974359,872941.5,22200000,8400,78
2012,"Washington",862688,"Kirk Cousins","quarterback",0.630513557305711,2178878.34545455,7e+05,14189344,22800,55
2013,"Washington",480000,"Kirk Cousins","quarterback",0.520024321966435,1286781.92,630000,6e+06,6000,75
2014,"Washington",570000,"Kirk Cousins","quarterback",0.6634709376545,1588813.61728395,580041,11455000,6300,81
2015,"Washington",660000,"Kirk Cousins","quarterback",0.677560977579379,1859847.19318182,595000,19038000,6600,88
2016,"Washington",19953000,"Kirk Cousins","quarterback",0.703089353207814,1948258.8875,6e+05,2e+07,6900,80
2017,"Washington",23943600,"Kirk Cousins","quarterback",0.722796843637433,1869805.44329897,612180,23943600,0,97
2018,"Vikings",2.6e+07,"Kirk Cousins","quarterback",0.698175197916539,2614153.20930233,630000,2.6e+07,38000,86
2019,"Vikings",2.8e+07,"Kirk Cousins","quarterback",0.69514083530612,2879458.17567568,678974.5,2.8e+07,0,74
2020,"Vikings",4e+07,"Kirk Cousins","quarterback",0.710577014980057,2662624.69135802,750000,4e+07,25200,81
2001,"Chargers",2165000,"Drew Brees","quarterback",0.205766570911799,5221666.66666667,6500000,7e+06,2165000,3
2002,"Chargers",4e+05,"Drew Brees","quarterback",0.480874316939891,3050000,1750000,7e+06,4e+05,3
2003,"Chargers",1980000,"Drew Brees","quarterback",0.313936781609195,1237333.33333333,1500000,1980000,232000,3
2004,"Chargers",2060000,"Drew Brees","quarterback",0.632894013107979,4694019.66666667,1425000,1.6e+07,54118,6
2005,"Chargers",8078000,"Drew Brees","quarterback",0.473572603289244,3623970.625,3302500,8078000,71765,8
2006,"Saints",1e+07,"Drew Brees","quarterback",0.658745890778795,2140247.4,560650,1e+07,105600,10
2007,"Saints",1.5e+07,"Drew Brees","quarterback",0.699033419051735,2896435,595860,1.5e+07,290000,12
2008,"Saints",5e+06,"Drew Brees","quarterback",0.619749064429754,2562341,482500,12700000,104706,16
2009,"Saints",10001000,"Drew Brees","quarterback",0.589851727016424,2444106.75,1470000,10001000,18235,20
2010,"Saints",9999000,"Drew Brees","quarterback",0.5984217273637,3508336.52173913,1759000,19200000,60000,23
2011,"Saints",1e+07,"Drew Brees","quarterback",0.531994994226629,2413564.67647059,1046661.5,1e+07,62700,34
2012,"Saints",4e+07,"Drew Brees","quarterback",0.664939933177982,3125487.60416667,719276,4e+07,32941,48
2013,"Saints",1e+07,"Drew Brees","quarterback",0.589855287254409,1644241.58571429,727500,1e+07,0,70
2014,"Saints",1.1e+07,"Drew Brees","quarterback",0.675109136285132,1548157.75949367,548324,1.3e+07,6300,79
2015,"Saints",1.9e+07,"Drew Brees","quarterback",0.697129050697656,1614393.63953488,524866,1.9e+07,6600,86
2016,"Saints",31250000,"Drew Brees","quarterback",0.689975089384372,1813586.36046512,617647,31250000,0,86
2017,"Saints",1.3e+07,"Drew Brees","quarterback",0.679080373030915,1634539.22826087,540000,1.3e+07,0,92
2018,"Saints",2.7e+07,"Drew Brees","quarterback",0.680430529323738,2107777.27848101,630000,2.7e+07,0,79
2019,"Saints",2.3e+07,"Drew Brees","quarterback",0.68594487498677,2495279.9,703976,2.3e+07,8000,80
2020,"Saints",2.5e+07,"Drew Brees","quarterback",0.696379139982879,2714388.97802198,809000,2.5e+07,0,91
2008,"Ravens",1300000,"Joe Flacco","quarterback",0.588699721052662,1901364.70588235,1005000,8475000,88400,17
2009,"Ravens",8595000,"Joe Flacco","quarterback",0.671712338823736,2337225.08333333,831635,15100000,88400,24
2010,"Ravens",2660000,"Joe Flacco","quarterback",0.611586508065762,3305686.88461538,1562000,24900000,348529,26
2011,"Ravens",4485000,"Joe Flacco","quarterback",0.666348484893811,2640913.05263158,630000,27100000,0,38
2012,"Ravens",6760000,"Joe Flacco","quarterback",0.630585466775737,2558507.87755102,865000,1.7e+07,0,49
2013,"Ravens",3e+07,"Joe Flacco","quarterback",0.638992282848626,2083998.65151515,694348,3e+07,0,66
2014,"Ravens",2.1e+07,"Joe Flacco","quarterback",0.727290035318662,1683594.80434783,495000,2.1e+07,6300,92
2015,"Ravens",1.1e+07,"Joe Flacco","quarterback",0.670331403495885,1444946.19791667,555000,1.4e+07,6600,96
2016,"Ravens",4.4e+07,"Joe Flacco","quarterback",0.699342432920995,2007150.98913043,6e+05,4.4e+07,0,92
2017,"Ravens",6e+06,"Joe Flacco","quarterback",0.637052470828721,1600639.55913978,630750,1.6e+07,0,93
2018,"Ravens",1.2e+07,"Joe Flacco","quarterback",0.639462502839782,1889164.14457831,630000,1.2e+07,22800,83
2019,"Broncos",18500000,"Joe Flacco","quarterback",0.707506120204219,2156195.04395604,615588,18500000,0,91
2020,"Jets",1500000,"Joe Flacco","quarterback",0.647402799572637,1715430.48421053,750000,11585304,25200,95
2009,"Lions",3100000,"Matt Stafford","quarterback",0.53593358857186,1823120.45454545,855000,6580125,385000,11
2010,"Lions",26900000,"Matt Stafford","quarterback",0.61496256710825,4803109,2899125,26900000,139412,18
2011,"Lions",9e+06,"Matt Stafford","quarterback",0.634301388805037,3154247.22222222,1372584,25909706,26471,27
2012,"Lions",11500000,"Matt Stafford","quarterback",0.654749880369421,2674640.125,881806,21750000,0,40
2013,"Lions",31500000,"Matt Stafford","quarterback",0.707585147293504,2517206.13235294,872500,31500000,0,68
2014,"Lions",2e+06,"Matt Stafford","quarterback",0.605873316704626,1393832.44155844,645423,12675000,18900,77
2015,"Lions",9500000,"Matt Stafford","quarterback",0.626531551652683,1474020.64556962,619356,1.3e+07,19800,79
2016,"Lions",1.7e+07,"Matt Stafford","quarterback",0.671241861189152,1906271.5,6e+05,1.7e+07,0,84
2017,"Lions",5.1e+07,"Matt Stafford","quarterback",0.73983030237609,2467793.59090909,615000,5.1e+07,0,88
2018,"Lions",16500000,"Matt Stafford","quarterback",0.683465286550028,2064429.80232558,648500,17143000,7600,86
2019,"Lions",19500000,"Matt Stafford","quarterback",0.723196214068537,2251440.68539326,645000,28875000,8000,89
2020,"Lions",21500000,"Matt Stafford","quarterback",0.700190917854085,2427134.65517241,750000,22554380,12000,87
2001,"Falcons",5e+06,"Michael Vick","quarterback",0.40269001624842,2769500,2769500,5e+06,539000,2
2002,"Falcons",9e+06,"Michael Vick","quarterback",0.467741935483871,4650000,4650000,9e+06,3e+05,2
2003,"Falcons",3400000,"Michael Vick","quarterback",0.39733438902085,1894500,1894500,3400000,389000,2
2004,"Falcons",12500000,"Michael Vick","quarterback",0.585977964887826,3523931.33333333,2162500,12500000,40588,6
2005,"Falcons",23100000,"Michael Vick","quarterback",0.618696927306771,6120071.42857143,1380000,23100000,70500,7
2006,"Falcons",8400000,"Michael Vick","quarterback",0.610014308917936,4040312.5,1655000,15500000,275000,8
2007,"Falcons",0,"Michael Vick","quarterback",0.520402096657217,1428538.5,690000,4e+06,0,12
