team,w,l,t,pct_total,pf,pa,net pts,home,road,div,pct_div,conf,pct_conf,non-conf,strk,last_five,year
Chargers,5,11,0,0.313,332,321,11,4 - 4 - 0,1 - 7 - 0,1 - 7 - 0,0.125,3 - 9 - 0,0.250,2 - 2 - 0,9L,0 - 5 - 0,2001
Chiefs,6,10,0,0.375,320,344,-24,3 - 5 - 0,3 - 5 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1L,3 - 2 - 0,2001
Broncos,8,8,0,0.500,340,339,1,6 - 2 - 0,2 - 6 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,1L,2 - 3 - 0,2001
Raiders,10,6,0,0.625,399,327,72,5 - 3 - 0,5 - 3 - 0,6 - 2 - 0,0.750,7 - 5 - 0,0.583,3 - 1 - 0,3L,2 - 3 - 0,2001
Seahawks,9,7,0,0.563,301,324,-23,6 - 2 - 0,3 - 5 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,1 - 3 - 0,2W,3 - 2 - 0,2001
Titans,7,9,0,0.438,336,388,-52,3 - 5 - 0,4 - 4 - 0,3 - 7 - 0,0.300,4 - 8 - 0,0.333,3 - 1 - 0,2L,2 - 3 - 0,2001
Bengals,6,10,0,0.375,226,309,-83,4 - 4 - 0,2 - 6 - 0,4 - 6 - 0,0.400,5 - 8 - 0,0.385,1 - 2 - 0,2W,2 - 3 - 0,2001
Jaguars,6,10,0,0.375,294,286,8,3 - 5 - 0,3 - 5 - 0,5 - 5 - 0,0.500,5 - 8 - 0,0.385,1 - 2 - 0,2L,3 - 2 - 0,2001
Browns,7,9,0,0.438,285,319,-34,4 - 4 - 0,3 - 5 - 0,5 - 5 - 0,0.500,6 - 7 - 0,0.462,1 - 2 - 0,1L,1 - 4 - 0,2001
Ravens,10,6,0,0.625,303,265,38,6 - 2 - 0,4 - 4 - 0,6 - 4 - 0,0.600,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0,2001
Steelers,13,3,0,0.813,352,212,140,7 - 1 - 0,6 - 2 - 0,7 - 3 - 0,0.700,10 - 3 - 0,0.769,3 - 0 - 0,1W,4 - 1 - 0,2001
Cardinals,5,11,0,0.313,262,417,-155,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,0 - 4 - 0,3L,1 - 4 - 0,2002
Rams,7,9,0,0.438,316,369,-53,6 - 2 - 0,1 - 7 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,2 - 2 - 0,1W,2 - 3 - 0,2002
Seahawks,7,9,0,0.438,355,369,-14,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3W,3 - 2 - 0,2002
49ers,10,6,0,0.625,367,351,16,5 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0,2002
Lions,3,13,0,0.188,306,451,-145,3 - 5 - 0,0 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,0 - 4 - 0,8L,0 - 5 - 0,2002
Bears,4,12,0,0.250,281,379,-98,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,2L,1 - 4 - 0,2002
Vikings,6,10,0,0.375,390,442,-52,4 - 4 - 0,2 - 6 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,1 - 3 - 0,3W,3 - 2 - 0,2002
Packers,12,4,0,0.750,398,328,70,8 - 0 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,1L,4 - 1 - 0,2002
Cowboys,5,11,0,0.313,217,329,-112,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,4L,1 - 4 - 0,2002
Washington,7,9,0,0.438,307,365,-58,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,3 - 1 - 0,2W,2 - 3 - 0,2002
Giants,10,6,0,0.625,320,279,41,5 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,4W,4 - 1 - 0,2002
Eagles,12,4,0,0.750,415,241,174,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,1 - 3 - 0,1L,4 - 1 - 0,2002
Panthers,7,9,0,0.438,258,302,-44,4 - 4 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,3 - 1 - 0,2W,4 - 1 - 0,2002
Falcons,9,6,1,0.594,402,314,88,5 - 3 - 0,4 - 3 - 1,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 1 - 1,1L,2 - 3 - 0,2002
Saints,9,7,0,0.563,432,388,44,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,3L,2 - 3 - 0,2002
Buccaneers,12,4,0,0.750,346,196,150,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,1W,3 - 2 - 0,2002
Bengals,2,14,0,0.125,279,456,-177,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,1L,1 - 4 - 0,2002
Ravens,7,9,0,0.438,316,354,-38,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,0 - 4 - 0,2L,2 - 3 - 0,2002
Browns,9,7,0,0.563,344,320,24,3 - 5 - 0,6 - 2 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,2W,3 - 2 - 0,2002
Steelers,10,5,1,0.656,390,345,45,5 - 2 - 1,5 - 3 - 0,6 - 0 - 0,1.000,8 - 4 - 0,0.667,2 - 1 - 1,3W,4 - 1 - 0,2002
Texans,4,12,0,0.250,213,356,-143,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,3L,1 - 4 - 0,2002
Jaguars,6,10,0,0.375,328,315,13,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,2L,1 - 4 - 0,2002
Colts,10,6,0,0.625,349,313,36,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0,2002
Titans,11,5,0,0.688,367,324,43,6 - 2 - 0,5 - 3 - 0,6 - 0 - 0,1.000,9 - 3 - 0,0.750,2 - 2 - 0,5W,5 - 0 - 0,2002
