team,w,l,t,pct_total,pf,pa,net pts,home,road,div,pct_div,conf,pct_conf,non-conf,strk,last_five,year
Packers,11,5,0,0.688,461,297,164,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,2W,4 - 1 - 0,2009
Bears,7,9,0,0.438,327,375,-48,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2W,3 - 2 - 0,2009
Lions,2,14,0,0.125,262,494,-232,2 - 6 - 0,0 - 8 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,6L,0 - 5 - 0,2009
Cowboys,11,5,0,0.688,361,250,111,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,3W,3 - 2 - 0,2009
Eagles,11,5,0,0.688,429,337,92,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,1L,4 - 1 - 0,2009
Giants,8,8,0,0.500,402,427,-25,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,2 - 2 - 0,2L,2 - 3 - 0,2009
Washington,4,12,0,0.250,266,336,-70,3 - 5 - 0,1 - 7 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,2 - 2 - 0,3L,1 - 4 - 0,2009
Saints,13,3,0,0.813,510,341,169,6 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,4 - 0 - 0,3L,2 - 3 - 0,2009
Falcons,9,7,0,0.563,363,325,38,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,3 - 1 - 0,3W,3 - 2 - 0,2009
Panthers,8,8,0,0.500,315,308,7,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,0 - 4 - 0,3W,4 - 1 - 0,2009
Buccaneers,3,13,0,0.188,244,400,-156,1 - 7 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,0 - 4 - 0,1L,2 - 3 - 0,2009
Chargers,13,3,0,0.813,454,320,134,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,4 - 0 - 0,11W,5 - 0 - 0,2009
Broncos,8,8,0,0.500,326,324,2,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,4L,1 - 4 - 0,2009
Raiders,5,11,0,0.313,197,379,-182,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2L,2 - 3 - 0,2009
Chiefs,4,12,0,0.250,294,424,-130,1 - 7 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0,2009
Patriots,10,6,0,0.625,427,285,142,8 - 0 - 0,2 - 6 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0,2009
Jets,9,7,0,0.563,348,236,112,4 - 4 - 0,5 - 3 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,2 - 2 - 0,2W,4 - 1 - 0,2009
Dolphins,7,9,0,0.438,360,390,-30,4 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,2 - 2 - 0,3L,2 - 3 - 0,2009
Bills,6,10,0,0.375,258,326,-68,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2009
Colts,14,2,0,0.875,416,307,109,7 - 1 - 0,7 - 1 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,4 - 0 - 0,2L,3 - 2 - 0,2009
Texans,9,7,0,0.563,388,333,55,4 - 4 - 0,5 - 3 - 0,1 - 5 - 0,0.167,6 - 6 - 0,0.500,3 - 1 - 0,4W,4 - 1 - 0,2009
Titans,8,8,0,0.500,354,402,-48,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,4 - 0 - 0,1W,3 - 2 - 0,2009
Jaguars,7,9,0,0.438,290,380,-90,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,4L,1 - 4 - 0,2009
Bengals,10,6,0,0.625,305,291,14,6 - 2 - 0,4 - 4 - 0,6 - 0 - 0,1.000,7 - 5 - 0,0.583,3 - 1 - 0,1L,2 - 3 - 0,2009
Ravens,9,7,0,0.563,391,261,130,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0,2009
Steelers,9,7,0,0.563,368,324,44,6 - 2 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,3 - 1 - 0,3W,3 - 2 - 0,2009
Browns,5,11,0,0.313,245,375,-130,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,0 - 4 - 0,4W,4 - 1 - 0,2009
Bears,11,5,0,0.688,334,286,48,5 - 3 - 0,6 - 2 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0,2010
Packers,10,6,0,0.625,388,240,148,7 - 1 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,2W,3 - 2 - 0,2010
Lions,6,10,0,0.375,362,369,-7,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,4W,4 - 1 - 0,2010
Vikings,6,10,0,0.375,281,348,-67,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0,2010
Falcons,13,3,0,0.813,414,288,126,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,1W,4 - 1 - 0,2010
Saints,11,5,0,0.688,384,307,77,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,1L,3 - 2 - 0,2010
Buccaneers,10,6,0,0.625,341,318,23,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,2 - 2 - 0,2W,3 - 2 - 0,2010
Panthers,2,14,0,0.125,196,408,-212,2 - 6 - 0,0 - 8 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,0 - 4 - 0,2L,1 - 4 - 0,2010
Seahawks,7,9,0,0.438,310,407,-97,5 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,1W,2 - 3 - 0,2010
Rams,7,9,0,0.438,289,328,-39,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0,2010
49ers,6,10,0,0.375,305,346,-41,5 - 3 - 0,1 - 7 - 0,4 - 2 - 0,0.667,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2010
Cardinals,5,11,0,0.313,289,434,-145,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,1L,2 - 3 - 0,2010
Eagles,10,6,0,0.625,439,377,62,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,2L,3 - 2 - 0,2010
Giants,10,6,0,0.625,394,347,47,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0,2010
Cowboys,6,10,0,0.375,394,436,-42,2 - 6 - 0,4 - 4 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,2 - 2 - 0,1W,3 - 2 - 0,2010
Washington,6,10,0,0.375,302,377,-75,2 - 6 - 0,4 - 4 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1L,1 - 4 - 0,2010
Patriots,14,2,0,0.875,518,313,205,8 - 0 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,4 - 0 - 0,8W,5 - 0 - 0,2010
Jets,11,5,0,0.688,367,304,63,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,1W,2 - 3 - 0,2010
Dolphins,7,9,0,0.438,273,333,-60,1 - 7 - 0,6 - 2 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3L,1 - 4 - 0,2010
Bills,4,12,0,0.250,283,425,-142,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,2L,2 - 3 - 0,2010
Steelers,12,4,0,0.750,375,232,143,5 - 3 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,2W,4 - 1 - 0,2010
Ravens,12,4,0,0.750,357,270,87,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,4W,4 - 1 - 0,2010
Browns,5,11,0,0.313,271,332,-61,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,4L,1 - 4 - 0,2010
Bengals,4,12,0,0.250,322,395,-73,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1L,2 - 3 - 0,2010
Chiefs,10,6,0,0.625,366,326,40,7 - 1 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,4 - 0 - 0,1L,3 - 2 - 0,2010
Chargers,9,7,0,0.563,441,322,119,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0,2010
Raiders,8,8,0,0.500,410,371,39,5 - 3 - 0,3 - 5 - 0,6 - 0 - 0,1.000,6 - 6 - 0,0.500,2 - 2 - 0,1W,3 - 2 - 0,2010
Broncos,4,12,0,0.250,344,471,-127,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,1L,1 - 4 - 0,2010
Colts,10,6,0,0.625,435,388,47,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,4W,4 - 1 - 0,2010
Jaguars,8,8,0,0.500,353,419,-66,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,3L,2 - 3 - 0,2010
Texans,6,10,0,0.375,390,427,-37,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1W,1 - 4 - 0,2010
Titans,6,10,0,0.375,356,339,17,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,3 - 1 - 0,2L,1 - 4 - 0,2010
Ravens,12,4,0,0.750,378,266,112,8 - 0 - 0,4 - 4 - 0,6 - 0 - 0,1.000,9 - 3 - 0,0.750,3 - 1 - 0,2W,4 - 1 - 0,2011
Steelers,12,4,0,0.750,325,227,98,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,2W,4 - 1 - 0,2011
Bengals,9,7,0,0.563,344,323,21,4 - 4 - 0,5 - 3 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,3 - 1 - 0,1L,2 - 3 - 0,2011
Browns,4,12,0,0.250,218,307,-89,3 - 5 - 0,1 - 7 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,1 - 3 - 0,6L,0 - 5 - 0,2011
Texans,10,6,0,0.625,381,278,103,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,3L,2 - 3 - 0,2011
Titans,9,7,0,0.563,325,317,8,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,2W,3 - 2 - 0,2011
Jaguars,5,11,0,0.313,243,329,-86,4 - 4 - 0,1 - 7 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,1 - 3 - 0,1W,2 - 3 - 0,2011
Colts,2,14,0,0.125,243,430,-187,2 - 6 - 0,0 - 8 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,1L,2 - 3 - 0,2011
Patriots,13,3,0,0.813,513,342,171,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,8W,5 - 0 - 0,2011
Jets,8,8,0,0.500,377,363,14,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,3L,2 - 3 - 0,2011
Dolphins,6,10,0,0.375,329,313,16,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1W,3 - 2 - 0,2011
Bills,6,10,0,0.375,372,434,-62,5 - 3 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,1L,1 - 4 - 0,2011
Broncos,8,8,0,0.500,309,390,-81,3 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,3L,2 - 3 - 0,2011
Chargers,8,8,0,0.500,406,377,29,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,1W,4 - 1 - 0,2011
Raiders,8,8,0,0.500,359,433,-74,3 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,1L,1 - 4 - 0,2011
Chiefs,7,9,0,0.438,212,338,-126,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,3 - 1 - 0,1W,3 - 2 - 0,2011
49ers,13,3,0,0.813,380,229,151,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0,2011
Cardinals,8,8,0,0.500,312,348,-36,6 - 2 - 0,2 - 6 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,1W,4 - 1 - 0,2011
Seahawks,7,9,0,0.438,321,315,6,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,2L,3 - 2 - 0,2011
Rams,2,14,0,0.125,193,407,-214,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,7L,0 - 5 - 0,2011
Packers,15,1,0,0.938,560,359,201,8 - 0 - 0,7 - 1 - 0,6 - 0 - 0,1.000,12 - 0 - 0,1.000,3 - 1 - 0,2W,4 - 1 - 0,2011
Lions,10,6,0,0.625,474,387,87,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,4 - 0 - 0,1L,3 - 2 - 0,2011
Bears,8,8,0,0.500,353,341,12,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,1W,1 - 4 - 0,2011
Vikings,3,13,0,0.188,340,449,-109,1 - 7 - 0,2 - 6 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,0 - 4 - 0,1L,1 - 4 - 0,2011
Saints,13,3,0,0.813,547,339,208,8 - 0 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,4 - 0 - 0,8W,5 - 0 - 0,2011
Falcons,10,6,0,0.625,402,350,52,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,1W,3 - 2 - 0,2011
Panthers,6,10,0,0.375,406,429,-23,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,3 - 1 - 0,1L,3 - 2 - 0,2011
Buccaneers,4,12,0,0.250,287,494,-207,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,10L,0 - 5 - 0,2011
Giants,9,7,0,0.563,394,400,-6,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,4 - 0 - 0,2W,3 - 2 - 0,2011
Eagles,8,8,0,0.500,396,328,68,3 - 5 - 0,5 - 3 - 0,5 - 1 - 0,0.833,6 - 6 - 0,0.500,2 - 2 - 0,4W,4 - 1 - 0,2011
Cowboys,8,8,0,0.500,369,347,22,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,2 - 2 - 0,2L,1 - 4 - 0,2011
Washington,5,11,0,0.313,288,367,-79,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,2L,1 - 4 - 0,2011
Washington,10,6,0,0.625,436,388,48,5 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,7W,5 - 0 - 0,2012
Giants,9,7,0,0.563,429,344,85,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,1 - 3 - 0,1W,2 - 3 - 0,2012
Cowboys,8,8,0,0.500,376,400,-24,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,2L,3 - 2 - 0,2012
Eagles,4,12,0,0.250,280,444,-164,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,3L,1 - 4 - 0,2012
Packers,11,5,0,0.688,433,336,97,7 - 1 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,1L,4 - 1 - 0,2012
Vikings,10,6,0,0.625,379,348,31,7 - 1 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,4W,4 - 1 - 0,2012
Bears,10,6,0,0.625,375,277,98,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,2W,2 - 3 - 0,2012
Lions,4,12,0,0.250,372,437,-65,2 - 6 - 0,2 - 6 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,1 - 3 - 0,8L,0 - 5 - 0,2012
49ers,11,4,1,0.719,397,273,124,6 - 1 - 1,5 - 3 - 0,3 - 2 - 1,0.583,7 - 4 - 1,0.625,4 - 0 - 0,1W,3 - 2 - 0,2012
Seahawks,11,5,0,0.688,412,245,167,8 - 0 - 0,3 - 5 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 1 - 0,5W,5 - 0 - 0,2012
Rams,7,8,1,0.469,299,348,-49,4 - 4 - 0,3 - 4 - 1,4 - 1 - 1,0.750,6 - 5 - 1,0.542,1 - 3 - 0,1L,3 - 2 - 0,2012
Cardinals,5,11,0,0.313,250,357,-107,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,2L,1 - 4 - 0,2012
Falcons,13,3,0,0.813,419,299,120,7 - 1 - 0,6 - 2 - 0,3 - 3 - 0,0.500,9 - 3 - 0,0.750,4 - 0 - 0,1L,3 - 2 - 0,2012
Panthers,7,9,0,0.438,357,363,-6,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,4W,4 - 1 - 0,2012
Saints,7,9,0,0.438,461,454,7,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0,2012
Buccaneers,7,9,0,0.438,389,394,-5,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,3 - 1 - 0,1W,1 - 4 - 0,2012
Broncos,13,3,0,0.813,481,289,192,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,3 - 1 - 0,11W,5 - 0 - 0,2012
Chargers,7,9,0,0.438,350,350,0,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,0 - 4 - 0,2W,3 - 2 - 0,2012
Raiders,4,12,0,0.250,290,443,-153,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,0 - 4 - 0,2L,1 - 4 - 0,2012
Chiefs,2,14,0,0.125,211,425,-214,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,0 - 12 - 0,0.000,2 - 2 - 0,4L,1 - 4 - 0,2012
Texans,12,4,0,0.750,416,331,85,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 2 - 0,2L,2 - 3 - 0,2012
Colts,11,5,0,0.688,357,387,-30,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0,2012
Titans,6,10,0,0.375,330,471,-141,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,1 - 3 - 0,1W,2 - 3 - 0,2012
Jaguars,2,14,0,0.125,255,444,-189,1 - 7 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,5L,0 - 5 - 0,2012
Patriots,12,4,0,0.750,557,331,226,6 - 2 - 0,6 - 2 - 0,6 - 0 - 0,1.000,11 - 1 - 0,0.917,1 - 3 - 0,2W,4 - 1 - 0,2012
Dolphins,7,9,0,0.438,288,317,-29,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0,2012
Jets,6,10,0,0.375,281,375,-94,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,3L,2 - 3 - 0,2012
Bills,6,10,0,0.375,344,435,-91,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,1W,2 - 3 - 0,2012
Ravens,10,6,0,0.625,398,344,54,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1L,1 - 4 - 0,2012
Bengals,10,6,0,0.625,391,320,71,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,3W,4 - 1 - 0,2012
Steelers,8,8,0,0.500,336,314,22,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,1W,2 - 3 - 0,2012
Browns,5,11,0,0.313,302,368,-66,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,3L,2 - 3 - 0,2012
Seahawks,13,3,0,0.813,417,231,186,7 - 1 - 0,6 - 2 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,3 - 1 - 0,1W,3 - 2 - 0,2013
49ers,12,4,0,0.750,406,272,134,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,6W,5 - 0 - 0,2013
Cardinals,10,6,0,0.625,379,324,55,6 - 2 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,4 - 0 - 0,1L,3 - 2 - 0,2013
Rams,7,9,0,0.438,348,364,-16,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,3 - 1 - 0,1L,2 - 3 - 0,2013
Eagles,10,6,0,0.625,442,382,60,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,1 - 3 - 0,2W,4 - 1 - 0,2013
Cowboys,8,8,0,0.500,439,432,7,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,1L,2 - 3 - 0,2013
Giants,7,9,0,0.438,294,383,-89,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,2W,3 - 2 - 0,2013
Washington,3,13,0,0.188,334,478,-144,2 - 6 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,2 - 2 - 0,8L,0 - 5 - 0,2013
Panthers,12,4,0,0.750,366,241,125,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,3W,4 - 1 - 0,2013
Saints,11,5,0,0.688,414,304,110,8 - 0 - 0,3 - 5 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,2 - 2 - 0,1W,2 - 3 - 0,2013
Falcons,4,12,0,0.250,353,443,-90,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,2L,2 - 3 - 0,2013
Buccaneers,4,12,0,0.250,288,389,-101,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,3L,1 - 4 - 0,2013
Packers,8,7,1,0.531,417,428,-11,4 - 3 - 1,4 - 4 - 0,3 - 2 - 1,0.583,6 - 5 - 1,0.542,2 - 2 - 0,1W,3 - 2 - 0,2013
Bears,8,8,0,0.500,445,478,-33,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,4 - 0 - 0,2L,2 - 3 - 0,2013
Lions,7,9,0,0.438,395,376,19,4 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,4L,1 - 4 - 0,2013
Vikings,5,10,1,0.344,391,480,-89,5 - 3 - 0,0 - 7 - 1,2 - 3 - 1,0.417,4 - 7 - 1,0.375,1 - 3 - 0,1W,3 - 2 - 0,2013
Colts,11,5,0,0.688,391,336,55,6 - 2 - 0,5 - 3 - 0,6 - 0 - 0,1.000,9 - 3 - 0,0.750,2 - 2 - 0,3W,4 - 1 - 0,2013
Titans,7,9,0,0.438,362,381,-19,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 3 - 0,2W,2 - 3 - 0,2013
Jaguars,4,12,0,0.250,247,449,-202,1 - 7 - 0,3 - 5 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,0 - 4 - 0,3L,2 - 3 - 0,2013
Texans,2,14,0,0.125,276,428,-152,1 - 7 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,0 - 4 - 0,14L,0 - 5 - 0,2013
Bengals,11,5,0,0.688,430,305,125,8 - 0 - 0,3 - 5 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0,2013
Steelers,8,8,0,0.500,379,370,9,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,2 - 2 - 0,3W,3 - 2 - 0,2013
Ravens,8,8,0,0.500,320,352,-32,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,2L,3 - 2 - 0,2013
